a1,Chrysanthemum                             ,249
a2,Chlorophytum                              ,249
a3,Philodendron                              ,299
a4,Green Fern Mini Plant                     ,325
a5,Snake Plant                               ,399
a6,Money Plant                               ,399
a7,Areca Palm Plant                          ,445
a8,Dracaena Silver                           ,460
a9,Alo Vera                                  ,499
a10,Fern Emina                                ,499
